question_id,question,answer,image_id
quest1,what is on the left side of the white oven on the floor and on right side of the blue armchair,garbage_bin,image1
quest2,what is on the left side of the fire extinguisher and on the right side of the chair,table,image1
quest3,what is between the the two white and black garbage bins,chair,image1
quest4,how many objects are between the fire extinguisher and the white oven on the floor,3,image1
quest5,what is the largest object in this picture,washing_machine,image1
quest6,how many plastic bottles are between the white fridge and the oven,5,image2
quest7,what is under the white cabinet on the right side of the oven and and on the left side of the fridge,sink,image2
quest8,what is on the left side of the white sink and under the cabinet,microwave,image2
quest9,how many white objects in this picture,9,image2
quest10,what is under the pan,oven,image2
quest11,what is on the right side of the black telephone and on the left side of the red chair,desk,image3
quest12,what is in front of the white door on the left side of the desk,telephone,image3
quest13,what is on the desk,"book, scissor, papers, tape_dispenser",image3
quest14,what is the largest brown objects,carton,image3
quest15,what color is the chair in front of the white wall,red,image3
quest16,what is on the right side of the notebook on the desk,plastic_cup_of_coffee,image4
quest17,what is on the right and left and in front of the papers on the desk,notebook,image4
quest18,what is on the desk and behind the black cup,bottle,image4
quest19,how many bottles are on the desk,11,image4
quest20,what is in front of the papers and notebook and bottles,chair,image4
quest21,what is on the left side of the cabinet and on the right side of the chair,whiteboard,image5
quest22,what is in front of the door and on the right of the table,chair,image5
quest23,how many chairs are on the right side of the table,3,image5
quest24,what is behind the whiteboard and in front of the wall,stacked_chairs,image5
quest25,what is in front of the white board or in front of the door,"table, chair",image5
quest26,what is in front of the stacked chairs and on the left side of the table,ladder,image6
quest27,how many dark blue armchairs are in this picture,8,image6
quest28,what is in front of the monitor,keyboard,image6
quest29,what color is the chair in front of the wall on the left side of the stacked chairs,blue,image6
quest30,what is in front of the black wall on the right side of the projector screen,monitor,image7
quest31,what color is the ladder between the projector screen and armchairs,red,image7
quest32,how many monitors are in this picture,3,image7
quest33,what color is the wall behind the projector screen,black,image7
quest34,what is on the wall below the clock on the left side of the green curtain and on the right side of the gray door,telephone,image8
quest35,what color is the garbage bin in front of the gray door on the left side of the fire extinguisher,blue,image8
quest36,how many red objects are in this picture,1,image8
quest37,what are on the wall on the left side of the green curtain but not behind the garbage bin,"clock, telephone",image8
quest38,what is the largest dark gery object in this picture,door,image8
quest39,what color is the red object in front of the wall on the left side of the desk,paper_tray,image9
quest40,what is above the desk in fornt of the scissor,hole_puncher,image9
quest41,what is the largest blue object in this picture,garbage_bin,image9
quest42,what is on the wall on the left side of the door above the desk,framed_certificate,image9
quest43,what is on the floor on the right side of the image10 behind the door frame in fornt of the cabinet,garbage_bin,image10
quest44,how many blue objects are in this picture on the top of the white cabinet not on the floor,1,image10
quest45,what is the largest white object on the left side of the picture,printer,image10
quest46,what is between the paper holder and tape dispenser below the white paper rack,hole_puncher,image11
quest47,what is the blue object in the black pen stand,scissor,image11
quest48,what color is the fax machine below the paper rack in front of the wall on the top of the cabinet,white,image11
quest49,how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1,image11
quest50,what is the black object between the white wall and gray locker,garbage_bin,image12
quest51,what is on the right side of the wall on the top of the cabinet on the left side of the hole puncher,paper_holder,image12
quest52,what color is the tape dispenser on the right side of the hole puncher in front of the wall,gray,image12
quest53,how many table fans are in this picture,1,image13
quest54,what is the black and white object on the cabinet door between the pictures,clock,image13
quest55,what is in fornt of the window on the left side of the fan coil on the right side of the wall,ornamental_plant,image14
quest56,what color is the ornamental plant in fornt of the fan coil but not close to sofa,red,image14
quest57,what the largest light green object in this picture,sofa,image14
quest58,what is in fornt of the white wall below the colorful picture but not close to window,sofa,image14
quest59,how many ornamental plants are in this picture,3,image14
quest60,what is the red object on the wall on the left side of the corridor,fire_extinguisher,image15
quest61,what is on the wall on the left side of the door and on the right side of the picture,fire_alarm,image15
quest62,what color is the door on the right side of the corridor,brown,image15
quest63,how many ceiling lamps are on in the corridor,1,image15
quest64,what is the smallest black object on the table below the bookshelf,tape_dispenser,image16
quest65,what is the white object on the table on the right side of the wall below the bookshelf,printer,image16
quest66,what is in front of the wall on the left side of the picture,ladder,image16
quest67,what color is the table below the printer but not below the tape dispenser or paper tray,brown,image16
quest68,what is on the right side of the brown table and on the left side of the door frame in fornt of the wall,ladder,image17
quest69,what is the brown object above the file cabinet,bookshelf,image17
quest70,what is on the right side of the ladder,door_way,image18
quest71,how many ladders are in this picture,1,image18
quest72,how many chairs are around the conference table,6,image19
quest73,what has been mounted on the ceiling between two ceiling lights,projector,image19
quest74,what color is the chair in front of the wall on the right side of the door behind the black chair,pink,image19
quest75,what is on the top of the computer case on the right side of the picture,modem,image20
quest76,what color is the table below the computer case in front of the wall,brown,image20
quest77,how many papers are on the wall on the left side of the modem,1,image20
quest78,what is on right side of the door way and on the left side of the armchair in frot of the wall,water_dispenser,image21
quest79,what is on the right side of the blue water carboy and on the left side of the black cables,telephone_cord,image21
quest80,what is on the table on the right side of the armchair in fornt of the wall,hand_sanitizer_dispenser,image21
quest81,what is the largest blue object in this picture,water_carboy,image21
quest82,what is the brown object on the desk on the left side of the paper in fornt of the computer chair,paper_tray,image22
quest83,what color is the garbage bin on the floor on the left side of the desk,purple,image22
quest84,what is between the computer chair and sofa and on the right side of the column,wall_divider,image22
quest85,what color is the paper holder on the right side of the water spray bottle,black,image22
quest86,how many tape dispensers are on the desk,1,image22
quest87,what is on the top right of the clock on the wall,framed_certificate,image23
quest88,how many hanging hooks are on the wall on the left side of the brown board below the red fire alarm,3,image23
quest89,what color are the paper trays in the bookshelf on the left side of the wall divider not on the desk in front of the computer chair,black,image23
quest90,what is the smallest dark blue object on the desk,pen,image23
quest91,what is the black and white object on the top right of the brown board,clock,image23
quest92,what color is the garbage bin in front of the white board on the floor,blue,image28
quest93,how many ceiling lamps are off in this picture,2,image28
quest94,what is the black object on the right side of the flipped table,chair,image28
quest95,what is the largest white object in this picture,whiteboard,image28
quest96,what is the blue object on the left side electrical outlet behind the computer case,water_carboy,image30
quest97,how many black objects are on the desk,3,image30
quest98,how many red objects are on the wall,1,image30
quest99,what are the small objects below the whiteboard,"whiteboard_eraser, whiteboard_marker",image33
quest100,what colors are the writings on the whiteboard,"red, black",image33
quest101,how many chairs are in fornt of the whiteboard,1,image33
quest102,how many mugs are on the table in front of the wall,1,image42
quest103,what color is the wall behind the cable outlets below the whiteboards,gray,image42
quest104,what color is the whole circle on the whiteboard,green,image42
quest105,what is behind the whiteboard on the gray part of the wall,electrical_outlet,image42
quest106,how many toothbrushes are in toothbrush holder,2,image44
quest107,how many frames are reflected in the mirror,2,image44
quest108,what is the white object between the bathroom basin and the door,toilet,image44
quest109,what is in front of red bag on the bathroom basin,hair_brush,image44
quest110,what is the white object in front of the window on the left side of the fan coil,lamp_shade,image50
quest111,what color is the flower on the top pf the fan coil,purple,image50
quest112,how many frames are in this picture on the windowsill but not on the side table,1,image50
quest113,what is on the right side of the side table and below the colorful painting,sofa,image50
quest114,what is between two dark brown and beige couches,bookshelf,image51
quest115,what is the colorful object on the arm of the beige couch,blanket,image51
quest116,what is the largest yellow and white object in this picture,pillow,image51
quest117,how many pictures are above the dark brown couch on the right side of the bookshelf,2,image51
quest118,what is on the floor on the left side of the wardrobe door,head_phone,image59
quest119,what are in the wardrobe on the right side of the picture,shirts_in_hanger,image59
quest120,what color is the basketball hoop above the computer chair,"red, white",image59
quest121,what is the brown wooden object behind the flat screen in front of the wall,dresser,image63
quest122,what is between the dresser and the desk on the floor,cables,image63
quest123,what color is the desk drawer on the left side of the dresser,white,image63
quest124,what is on the mattress in front of the wall,blanket,image65
quest125,how many bottles of water are on the night stand,1,image73
quest126,what color is the bedside lamp behind the bottle of water,black,image73
quest127,what is below the blanket and pillows on the left side of the night stand,mattress,image73
quest128,what are the white objects on the mattress,"blanket, pillow",image73
quest129,what color is the lamp shade on the night stand on the left side of the bed,brown,image76
quest130,what is the largest dark brown object in this picture,blinds,image76
quest131,what is the gray object on the mattress below the blanket,pillow,image76
quest132,what color is the bedhead in this picture,brown,image76
quest133,what is on the wall above the night stand,picture,image76
quest134,what color is the frame on the wall above the desk,black,image77
quest135,what is the red and gray object in front of the mirror and close to the edge of the desk,deoderant,image77
quest136,what is in the corner of the wall on the left sight of the blinds,bookshelf,image77
quest137,what is on the floor on the left side of the desk,bicycle,image78
quest138,how many framed pictures are on the wall,2,image78
quest139,how many drawer knobs are in this picture,2,image78
quest140,what is the smallest brown object in this picture,lamp_shade,image79
quest141,how many drawers does the night stand have on right side of the bed,2,image79
quest142,what color is the bed sheet below the blanket and pillows,gray,image79
quest143,what is the rectangular shaped object on the night stand on the right side of the bed,laptop,image79
quest144,what is in the corner of the wall on the left side of the bookshelf,hockey_stick,image80
quest145,what color is the hat on the top right of the bookshelf,"black, white",image80
quest146,what color is the bookshelf in front of wall,brown,image80
quest147,what is the red object on the dresser,deoderant,image82
quest148,how many knobs are in the first row of the drawers,5,image82
quest149,what color is the blanket on the mattress,brown,image82
quest150,what is on the top of the dresser close to the red deoderant,box,image82
quest151,how many tables are in front of the bookshelf close to the ladder,1,image84
quest152,what are the blue and white objects above the tables on the left side of the picture,umbrella,image84
quest153,what color are the bookshelves in this picture,brown,image84
quest154,how many ladders are in this picture,1,image87
quest155,what color are the bookshelves,brown,image87
quest156,what is the most frequent object in this picture,book,image87
quest157,what colors are the backpacks in the store,"pink, purple, blue, black",image91
quest158,what is the red object on the white column,fire_alarm,image91
quest159,what is in the cartons close to the notebooks,file_holder,image93
quest160,what color is the lamp shade near the laptop on the table,red,image93
quest161,which object is made of glass and wood in this picture,display_case,image93
quest162,what color is the wall behind the laptop and lampshade,purple,image93
quest163,what colors are the sweatshirts in front of the store,"gray, blue, black",image95
quest164,how many stairs are between the front side and the back side of the store,3,image95
quest165,what colors are the mugs in the shelf,"white, black, purple, blue",image97
quest166,what are the shelves made of,glass,image97
quest167,what colors are the sweatshirts,"pink, blue, black, white",image99
quest168,how many shelves does the bookcase have on the left side of the sweatshirts,6,image99
quest169,how many steps does the step stool have,3,image104
quest170,what colors are the sticker notes on the shelves,"pink, yellow",image104
quest171,how many shelves does the bookcase have close to the step stool,7,image104
quest172,what is on the top of the monitor on the cash desk,soft_toy,image114
quest173,how many lamps are above the cash desk in this picture,2,image114
quest174,what is under the counter and behind the floor mat,radiator,image123
quest175,what is on the top of the counter between the paper cups and the paper boxes,napkin_dispenser,image123
quest176,how many blackboards are in the picture,3,image123
quest177,how many tumblers are on the counter,4,image124
quest178,what is between the white mug and the paper cups on the counter,ornamental_plant,image124
quest179,what color is the counter,"white, brown",image124
quest180,what is on the cabinet in front of the dish rack,casserole_dish,image130
quest181,how many plates are in the dish rack,2,image130
quest182,how many cabinets are above the sink and the dish rack,3,image130
quest183,how many tiers does the spice rack have,3,image133
quest184,what is hanging on the wall between the spice rack and the cabinet,kichen_towel,image133
quest185,what color is the cabinet above the sink,white,image133
quest186,what is the electrical object on the cabinet,blender,image134
quest187,what color is the kitchen towel hanging on the cabinet handle,yellow,image134
quest188,what is on the refridgerator door,picture,image134
quest189,what is above the oven on the wall,microwave,image136
quest190,what is in the rack on the wall,spice_bottle,image136
quest191,what is the dish on the oven made of,aluminium_foil,image136
quest192,what color is the toaster oven on the top of the cabinet,white,image139
quest193,what color is the salt shaker below the electrical outlet,red,image139
quest194,how many electrical objects are on the cabinet,2,image139
quest195,what is on the cabinet in front of the electrical kettle,vegetable_peeler,image140
quest196,what is in front of the oven rack,faucet,image140
quest197,what is between the wall and the scissor on the right side of the sink,pitcher,image140
quest198,what is on the top of the oven,"cutting_board, pot",image145
quest199,how many knobs does the oven have,4,image145
quest200,what is on the cabinet on the left side of the pot,toaster_oven,image145
quest201,what is on the top of the fan coil,book,image156
quest202,what is between the fan coil and the sofa,"tv_stand, television",image156
quest203,what color are the blinds,white,image156
quest204,what is below the light switch on the right side of the door,package_of_bottled_water,image159
quest205,what is leaning against the wall in the corridor,chair,image163
quest206,what is on the tv stand,dvds,image163
quest207,what is in the wooden tv stand,book,image164
quest208,how many bowls are on the tv stand,2,image164
quest209,how many frames are on the wall,1,image167
quest210,what is on the side table close to the magazines,ashtray,image168
quest211,what is the glass object close to the side table,vase,image168
quest212,what color are the towels reflected in the mirror,blue,image170
quest213,how many colors does the shower curtain have,4,image170
quest214,what is on the right side of the faucet,bottle_of_hand_wash_liquid,image170
quest215,what is the wooden object in front of the radiator,dresser,image171
quest216,what is in the top shelf of the book case,book,image171
quest217,what color is the armchair on the right side of the door way,brown,image171
quest218,what is on the dark brown armchair on the right side of the door way,"pillow, backpack",image172
quest219,what is on the table between the dark brown armchairs,"paper, book",image172
quest220,what color is the carpet below the bed,green,image172
quest221,what is the largest black object in this picture,television,image177
quest222,how many pictures are on the wall around the television,3,image177
quest223,what color is the ironing board on the right side of the picture,white,image181
quest224,what is below the rolled blanket,carton,image181
quest225,what color is the shade of the table lamp close to the bookshelf,white,image181
quest226,what is the black rectangular object on the mattress,remote_control,image183
quest227,how many black objects are on the bed,3,image183
quest228,how many bottles are on the top pf the bookcase,4,image187
quest229,what is below the blue jean,"desk, box",image187
quest230,how many lamps are on in this picture,1,image187
quest231,how many frames are on the wall,2,image192
quest232,what is below the television,dresser,image192
quest233,what color is the dish washing sponge close to the sink,"green, yellow",image194
quest234,what are the wooden objects in this picture,"cabinet, cutting_board",image194
quest235,what color is the dish rack,black,image194
quest236,which objects are around the sink,"hair_brush, bottle_of_hand_wash_liquid, toothbrush_holder, toothbrush, faucet, faucet_handle",image195
quest237,what is reflected in the mirror,shower_curtain,image195
quest238,what is the largest object on the cabinet,flask,image198
quest239,what is in the bottom row of the cabinet,onion,image198
quest240,what color is the pitcher close to the bowl,white,image198
quest241,what is the yellow object close to the faucet,dish_brush,image204
quest242,what color is the cutting board behind the dish rack,white,image204
quest243,how many electrical appliances are on the cabinet,2,image205
quest244,what is between the cabinet and the wall,refridgerator,image205
quest245,what is on the cabinet behind the roll of paper towels and the can,crock_pot,image206
quest246,how many kitchen towels are on the cabinet,2,image206
quest247,what color is the doors of the cabinets,white,image206
quest248,how many frames are on the wall of the kitchen,2,image207
quest249,what color is the kitchen towel hanging on the handle of the cabinet,white,image207
quest250,what is on the top of the bookshelf below the frame,box,image207
quest251,what is on the top shelf of the bookcase close to the face shape sculpture,decorative_candle,image207
quest252,what color is the chair in front of the desk,red,image210
quest253,what is the gray object close to the white board,curtain,image210
quest254,how many layers does the file holder on the desk have,3,image210
quest255,what is hanging from the ceiling above the table,chandelier,image223
quest256,what color is the column in the middle of the store,brown,image223
quest257,how many shelves does the cabinet with light green dishes have,4,image223
quest258,what color are the mats on the table on the left side of the picture,pink,image225
quest259,what are the circle shape objects on the table on the right side of the picture,box,image234
quest260,what kind of containers are on the dark brown wall shelves,vase,image234
quest261,how many lamps are above the cash desk,2,image234
quest262,how many vases are on the coffee table in front of the light blue armchair,2,image237
quest263,how many colors do the armchairs and their cushions have,2,image237
quest264,what colors do the stools around the table have,"blue, white",image239
quest265,what is leaning against the wall on the left side of the white cabinet,ladder,image239
quest266,what color is the chandelier hanging from the ceiling,black,image245
quest267,what color is the pipe behind the room divider,red,image245
quest268,what is in the shelf on the right side of the room,decorative_bowl,image245
quest269,how many black chairs are behind the coffee table,2,image248
quest270,what color is the dresser below the white lamp shade,white,image248
quest271,what color is the table below the black chandelier,white,image249
quest272,how many cushions are on the black sofa,2,image249
quest273,how many larg frames are on the wall,2,image249
quest274,how many rows does the spice rack have,4,image252
quest275,how many handles does the faucet have,1,image252
quest276,how many remote controls are on the tv stand,1,image259
quest277,what are the black objects on the tv stand,"television, dvd_player",image259
quest278,how many high stools are in front of the kitchen counter,2,image263
quest279,what is on the right side of the kitchen counter close to the wall,scale,image263
quest280,what color is the tablecloth,green,image263
quest281,how many chairs are around the conference table in this picture,5,image271
quest282,what colors is the conference table,"brown, black",image271
quest283,what is the red object in this picture,fire_alarm,image273
quest284,what colors are the garbage bins close to the wall,"white, blue",image273
quest285,what color is the light above the door at the end of the room,pink,image275
quest286,what is on the wall on the left side of the room,whiteboard,image275
quest287,what is the largest blue object in this picture,table,image276
quest288,how many toys are on the bed,3,image280
quest289,what is on the floor and on the right side of the painting,toy_box,image280
quest290,what color is the window shutter,white,image280
quest291,what is the most colorful object in this picture,rug,image285
quest292,what color is the chair on the carpet,blue,image285
quest293,what color are the circles in the picture below the whiteboard,green,image285
quest294,how many rolling chairs are in this picture,1,image290
