question_id,question,answer,image_id
quest1455,what is the object on the shelves,cup,image100
quest4951,how man chairs are there,6,image888
quest11019,what is hanged to the right side of the bed,curtain,image1174
quest9968,how many picture are on the wall,2,image942
quest882,what is the object on the floor behind the rack,room_divider,image1220
quest1711,what is the object on the floor in front of the cabinet,garbage_bin,image541
quest3920,what is beneath the stove,oven,image576
quest5406,what is on the night stand,lamp,image1013
quest4882,what is on the above the stove,microwave,image867
quest5615,what is on the wall,spot_light,image1070
quest3133,what is above the cupboards,books,image110
quest2246,what is the object left of the shelf,soft_toy,image1001
quest5474,what is above the drawer,mirror,image1031
quest8766,what is on the shelf,bag,image612
quest5480,what is in front of the bed,night_stand,image1033
quest8388,what is to the left of the sofa,lamp,image488
quest3541,what is around the table,chair,image467
quest7164,what is to the right of cot,drawer,image79
quest3882,what is on the wall,"picture, wall_decoration",image565
quest6303,what is beneath the picture,sofa,image1271
quest10721,what is the colour of the lamps,brown,image1110
quest1598,what are the objects close to the wall above the counter,cabinet,image144
quest12251,how many chairs are there,10,image1404
quest8597,what is on table,computer,image557
quest395,what is on the floor in front of the toilet,floor_mat,image506
quest8993,what is the object found behind the sink,mirror,image680
quest6833,what is on the table,"box, decorative_item",image1420
quest3972,what is in front of the sofa,table,image588
quest11237,what is to the left of the book rack,table,image1217
quest1181,what is the blue object that is in front of the counter and to the right of the photocopying machine,garbage_bin,image10
quest12191,what are the things on the cabinet,"bottle, vase, decorative_item",image1392
quest1912,what is the object close to the tissue rod,tissue,image705
quest11764,what are on the sofa,"pillow, remote_control",image1311
quest8119,what is in between sofas,lamp,image379
quest2215,what is the object on the floor in front of the window,piano,image980
quest7542,what is in front of the shelves,table,image212
quest8519,what is behind the chair,bed,image531
quest11904,what is stuck on the ceiling,fan,image1336
quest4218,what is in front of the bottle of hand wash liquid,shaver,image660
quest8605,what is right of oven,sink,image559
quest2902,what is the colour that is dominating on the poster board,yellow,image37
quest7068,what is behind the cpu,water_dispenser,image30
quest8402,what is on the table,coffee_machine,image495
quest4829,what is on the refrigerator,"paper, magnet",image852
quest11000,what is found near the computer table,chair,image1170
quest10393,what is on the floor in between the storage racks,basket,image1047
quest6110,what is on the sofa,bag,image1217
quest1692,how many monitors are there in the table,2,image528
quest4527,what is on the left side of the paper,newspapers,image772
quest124,what is on the mattress in front of the wall,blanket,image65
quest7147,what is on the bed,"pillow, rug",image64
quest1953,what is the object on the window pane,plant,image736
quest10676,what is to the left of the window,bookshelf,image1099
quest12400,what is in front of the dining table,cabinet,image1435
quest9356,what is border colour of floor mat,brown,image780
quest9712,how many containers are there,3,image872
quest8826,what is to the left of the computer,toy,image633
quest3533,what is in front of the table,ornamental_plant,image464
quest10957,what is found on the top of the table,photo,image1161
quest11533,what is in front of the window,sofa,image1269
quest3974,what is in front of the person on the table,tissue_box,image589
quest8750,what is the colour of the pillow,red,image607
quest11558,what objects are on the table,"tissue_box, book",image1274
quest11191,what is on the coffee table,vase,image1208
quest5836,what is in front of the blinds,excercise_equipment,image1132
quest4221,what is on the right side of the tap,bottle_of_hand_wash_liquid,image661
quest5009,what is on the right side of the cupboard,oven,image907
quest3450,what is on the right side of the cupboard,basket,image443
quest3911,what is on the left side of the sink,bottle_of_soap,image574
quest1892,what is the object close to the towel rod,towel,image690
quest10512,what is at the right side,wardrobe,image1069
quest7304,what is colour of the cutting board in the middle,green,image134
quest296,how many plastic toy containers are below the table in front of the wall,6,image292
quest8560,how many chair are,3,image545
quest7938,what is behind the teacher,shelves,image319
quest11741,what is under the piano,stool,image1306
quest3985,what is on the left side of the chair,table,image592
quest1786,what is the object on the table,pot,image605
quest9575,what are the things stuck on the refridgerator,photo,image835
quest287,what is the largest blue object in this picture,table,image276
quest4522,what is above the tap,blinds,image771
quest4004,what is on the end of the table,remote_control,image598
quest1759,how many pictures are there on the wall,3,image588
quest4603,what is on the left side of the plastic cover,remote_control,image792
quest1285,what is the object in front of the window,chair,image40
quest4193,what is on the left side of the the bath tub,toilet,image652
quest9096,what is kept on the floor,garbage_bin,image703
quest10526,what are found on the floor,"book, paper, shoe",image1071
quest3718,what is the colour of the book on the top,paper,image517
quest11067,what are the things found on the cabinet,"lamp, photo, books",image1183
quest8398,what is on the washing machine,clothing_detergent,image493
quest8021,what is to the left of the table,wall,image344
quest8274,what is in front of the door,trampoline,image436
quest9158,how many knobs in wash basin cupboard,4,image729
quest550,what are the silver objects on the left side of the wine bottles on the kitchen counter,candlestick,image1435
quest8295,what is on the bed,toy_triangle,image446
quest7149,what is on the shelf,papers,image64
quest7284,what is to the left of the stove,knife_rack,image129
quest10281,what is hung on the wall,wall_decoration,image1019
quest9933,what is the colour of the window cover,green,image930
quest10419,what is in front of the chair,cabinet,image1053
quest4394,what is the colour of the towel,white,image720
quest4743,what is on the right most side on the table,monitor,image829
quest2587,how many objects are there on the wall and on the left side of the window,3,image1390
quest10803,what is the object to the left of the bed,cabinet,image1129
quest11273,what is on the television,dvd_player,image1223
quest5390,what is on the right side of the bed,lamp,image1009
quest9055,what is the object at the left side of the sink,towel,image693
quest6563,what is behind the table,chair,image1345
quest5345,what is on the pillow,toy_doll,image997
quest9474,what are the objects found below the storage rack,"kitchen_utensils, coffee_machine",image808
quest2378,what is the largest object on the stool,lamp,image1116
quest5749,what is beneath the television,dvd_player,image1108
quest4499,what is on the left side of the sink,bottle_of_liquid,image762
quest4025,what is in front of the window,fan,image604
quest4703,how many drawers are open,1,image819
quest6120,what is behind the sofa,mirror,image1219
quest10382,what is hung on the left side top corner of the mirror,medal,image1044
quest3308,what is the colour of the laundry basket,blue,image406
quest3112,what is the colour of bottles in the last shelf,"blue, white, black",image102
quest5844,what is the large black object,television,image1134
quest4902,what is on the left side of the sink,stand,image873
quest3353,what is the colour of the clothes on the chair,pink,image418
quest5121,what is on the left side of the table,bed,image937
quest2586,what color is the piano,brown,image1387
quest1304,what is the object close to the wall above the sink,mirror,image46
quest5598,how many drawers are visible,8,image1065
quest6073,what is behind the sofa,pool_table,image1206
quest4668,what is on the drawer table,stove,image809
quest10073,what object is found to the left side of the sofa,bed,image971
quest5810,what is in front of the bed,chair,image1124
quest2955,how many chairs surround the table,6,image54
quest8505,what is on bed,pillow,image527
quest7769,what is behind the table,window,image276
quest11510,what is the colour of the chair,purple,image1265
quest7979,what is on the table,papers,image332
quest8517,what is left of chair,window,image531
quest4090,what is behind the papers book,monitor,image621
quest11468,what is in the bottom left corner,sofa,image1258
quest3709,what is the colour of the book,brown,image515
quest9190,how many draw handle displayed,2,image741
quest4304,what is the colour of the towel,blue,image688
quest6001,what is the colour of the chair,red,image1183
quest3376,what is on the sofa,pillow,image424
quest2996,what is in front of the pillow,comforter,image64
quest3922,name a few things that are in the rack,"bottle, container, bottle_of_liquid",image577
quest5279,what is on the left side of the bed,carton,image980
quest468,what color is the lamp shade on the cabinet,white,image612
quest9506,what is found below the book rack,oven,image817
quest7476,how many posters are,2,image184
quest8087,what is near the table,bunk_bed,image365
quest3140,what is in front of the gray rack,garbage_bin,image112
quest3015,how many pillows are there,2,image71
quest107,how many frames are reflected in the mirror,2,image44
quest5325,what is above the drawer,"framed_certificate, picture",image992
quest2639,what color is the door,white,image1397
quest10422,what is hanged on the chair,clothes,image1053
quest11008,what is on the floor,floor_mat,image1172
quest8586,what is behind the chair,door,image554
quest5689,what is on the right side of the decoration plate,curtain,image1091
quest412,what is on the desk close to the bookshelf,book,image517
quest6278,what is behind the chair,blinds,image1264
quest7250,what is the candle holder by,incense_holder,image120
quest10539,what object is on the table,lamp,image1074
quest2674,where are the books,bookshelf,image627
quest10336,what is present on the left side,table,image1032
quest5523,what is on the bed,clothes,image1043
quest9851,what is found on the right side,bed,image909
quest8046,what is the colour of the floor mat,red,image351
quest4282,what is above the tap,mirror,image679
quest5461,what is on the left side of the picture,door,image1028
quest11540,what objects are seen in the mirror,"sofa, photo, window, door",image1270
quest6176,what is on the left side of the decorative item,door,image1236
quest8470,what is to left of hanger,shelves,image517
quest11299,what is in front of the chairs in the table,table,image1228
quest4111,what is on the left side of the table,book,image626
quest1863,what is the object close to the wall above the counter,mirror,image671
quest3400,what is on the sofa,"pillow, clothes",image430
quest9405,what is the border colour of the dinning table,red,image794
quest5217,what is on the left side of the table,bookshelf,image964
quest2361,what is the object close to the wall,photo,image1094
quest8603,what is the largest object,refridgerator,image559
quest2134,what is the object on the stool,lamp,image909
quest8006,what is on the door,door_knob,image339
quest2407,what is the object on the floor in front of the wall,cabinet,image1149
quest30,what is in front of the black wall on the right side of the projector screen,monitor,image7
quest1101,what is the largest object,table,image1344
quest5262,what is on the right side of the picture,bag,image975
quest4602,what is on the wall,picture,image792
quest6126,what is on the left most side,blinds,image1221
quest569,how many red objects are on the cabinets,1,image450
quest7587,what colour shirt is the man wearing,black,image222
quest5845,what is the colour of the chair,"brown, white",image1134
quest1246,what is the object close to the ceiling and in front of the window,projector_screen,image27
quest8951,how many drawer handles are there,5,image670
quest11830,what is stuck on the wall,candelabra,image1324
quest1459,what is the object on the side rack that rotates,notecards,image101
quest7959,what object is blue in colour,sofa,image325
quest853,what is the object close to the door,door_knob,image650
quest317,what is the round object on the wall,clock,image336
quest109,what is in front of red bag on the bathroom basin,hair_brush,image44
quest8760,what is in front of the chair in the table,briefcase,image610
quest1045,how many chairs are there,3,image467
quest2956,what is hung on the wall,"picture, picture",image54
quest10472,what is stuck on the wall,photo,image1063
quest8628,what colour is the wall,white,image566
quest9364,how many legs in revolving chair,5,image782
quest10488,what is found on the floor,hat,image1065
quest4650,what is at the centre of the table,"vase, flower",image805
quest12196,how many chairs are there,10,image1394
quest7708,how many chair are,5,image258
quest3083,what is on the right side of the lamp,monitor,image93
quest3102,what are the colours of the clothes,"pink, black, white, blue",image99
quest2679,how many picture frames are there,2,image842
quest8746,what is on the table,computer,image605
quest4163,what is on the ping pong table,ping_pong_racket,image641
quest4195,what is on the left side of the tap,bottle_of_hand_wash_liquid,image653
quest2994,what are the things on the night stand,"bottle_of_perfume, papers",image64
quest3275,what is on the left side of the purple chair,door,image397
quest5046,what is on the right side of the drawer table,chair,image917
quest10379,what is present in the desk,shelves,image1043
quest2975,what is left side of the headphones,tissue_roll,image59
quest6931,what is beneath the framed picture,sofa,image1444
quest3873,what is above the stove,microwave,image562
